"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","sndp","num_offences"
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2012,70.2,7.5,10,999.9,0.657893536508517
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2012,64.4,8,10,999.9,0.350874662876111
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2012,64.8,6.5,10,999.9,1.10818788450271
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2012,68.3,4,10,999.9,0.770467123507065
"158",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2012,72.9,5.7,10,999.9,2.02924450539993
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012,78.9,8.6,10,999.9,1.37427090831746
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2012,80.3,9.8,10,999.9,0.944444485232095
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2012,80.6,9.9,10,999.9,1.54824827004249
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2012,73.7,10.2,10,999.9,1.77339544403959
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2012,65.2,6.4,10,999.9,1.64035393213221
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2012,70.5,7.5,10,999.9,0.647659574054103
"165",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2012,77.4,8.2,10,999.9,1.7017577068587
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012,81.5,8.8,10,999.9,1.49707845777043
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2012,77.3,7.8,9,999.9,0.309938813058457
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2012,81,12.4,10,999.9,1.55848223249691
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2012,86,14.1,10,999.9,0.903508635414441
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2012,86.1,13.3,10,999.9,1.86550110612931
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2012,81.1,9.8,10,999.9,1.43567468304394
"172",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2012,76.4,6.7,10,999.9,2.09064828012641
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012,76.2,5.1,10,999.9,2.17251997976172
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2012,78.9,4.7,10,999.9,1.65058789458663
"175",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2012,71.2,12.9,10,999.9,0.504384099692314
"176",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2012,70,5.2,9.6,999.9,0.422512400057006
"177",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2012,74.9,9.5,10,999.9,1.34356902095422
"178",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2012,87,9.9,10,999.9,0.238301075877563
"179",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2012,81.7,4.5,9.4,999.9,1.3231010960454
