"","temp","wdsp","visib","num_offences"
"1031",38.7,13,9.7,0.0438890232125609
"1041",45.4,9.1,10,-0.110911669497753
"1051",60.6,15.6,10,0.0549462155490119
"1061",47.2,5.9,9.8,0.265032869941581
"1071",43.4,9.9,8.2,-1.31614563417091
"1081",52.2,9.2,5.8,-0.442627439591283
"1091",40.9,18.4,9.7,0.0991749848948159
"1101",37.1,10,9.2,-0.376284285572577
"1111",40.5,9,10,-0.719057248002558
"1121",51.5,9.1,10,0.851064063773484
"1131",53.2,8.2,9,-0.818571979030617
"1141",41.3,9.2,9.6,0.762606525081876
"1151",45,12.7,10,0.419833562651895
"1161",49.2,9.2,10,1.37075210358668
"1171",57.2,6.4,10,0.342433216296738
"1181",57.8,5.2,8.8,-0.486856208937087
"1191",60.1,7.7,9.5,0.740492140408974
"1201",69.6,15.4,10,0.25397567760513
"1221",54.4,11.1,10,-0.121968861834204
"1231",43.6,12.5,9.2,0.718377755736072
"1241",55.4,7.1,10,0.828949679100582
"1251",58.1,7.3,10,-0.121968861834204
"1261",59.8,7.8,10,0.441947947324797
"1271",61,4.9,10,0.784720909754778
"1281",65.1,4.5,10,1.40392368059603
"1291",64.1,3.8,10,-0.0113969384696941
"1301",47.4,9.9,8.1,0.873178448446386
"1311",49.7,9.3,9.9,-0.0556257078154981
"1321",46.3,11.1,10,-0.0445685154790471
"1331",48,4.8,10,0.629920217044464
"1341",65.5,9.5,10,0.751549332745425
"1351",76,9.1,10,2.20004152882051
"1361",69.6,3.6,10,1.49238121928764
"1371",60.7,5.9,10,1.66929629667086
"1381",65.8,5.5,9.9,1.19383702620346
"1391",71.6,5.6,9.6,0.132346561904169
"1401",79.5,12.5,10,1.35969491125023
"1411",72.8,11.7,9.6,1.0279791411567
"1421",68.7,6,8.5,0.795778102091229
"1431",53.6,12,8.7,0.0217746385396589
"1441",47.8,9.4,10,1.08326510283895
"1451",49.9,4.1,10,0.0107174462032079
"1461",54.5,5.9,10,-0.663771286320303
"1471",57.4,8,7.2,-0.74117163267546
"1481",64.8,7.8,8.5,0.110232177231267
"1491",71.1,7.2,9.7,0.729434948072523
"1501",76.5,13,10,1.20489421853992
"1511",70.5,10.7,9.5,1.06115071816605
"153",57.5,7.3,8.9,-0.0666829001519491
"1541",53.6,2.9,10,0.840006871437033
"1551",60.2,5.1,10,0.220804100595777
"1561",61.6,7.1,10,0.729434948072523
"1571",57.7,7.9,10,1.34863771891378
"1581",57.9,9.1,10,0.441947947324797
"1591",62.3,4.7,10,0.939521602465092
"1601",66.6,7.7,10,-0.0777400924884001
"1611",70.7,4.3,8.5,0.552519870689307
"1621",70.4,4.8,8.5,0.209746908259326
"1631",75,5.1,10,-0.0887972848248511
"1641",66.9,10.2,9.3,0.862121256109935
"1651",64.1,7.7,10,1.89044014339988
"1661",66.7,5.2,9.8,0.663091794053817
"1671",76.4,9.4,10,1.31546614190443
"1681",77.4,6.5,10,2.03418364377374
"1691",62.7,9.9,7.9,1.01692194882025
"1701",63.5,7,10,0.685206178726719
"1711",71.2,4.5,10,1.44815244994184
"1721",74.8,8.4,10,0.729434948072523
"1731",73.1,7.5,10,0.928464410128641
"1741",75.9,9.5,9.8,0.563577063025758
"1751",76.4,9.2,9.5,-0.144083246507106
